Job Title,Salary Estimate,Rating,Company Name,Location,Size,Founded,Type of ownership,Industry,Sector,Revenue
Data Analyst,$50K - $65K (Glassdoor est.),-1,Synergy Solutions,"Detroit, MI",-1,-1,-1,-1,-1,-1
Data Analyst,-1,-1,Ann Arbor Pharmacometrics Group,"Ann Arbor, MI",-1,-1,-1,-1,-1,-1
Data Analyst,-1,-1,Ann Arbor Pharmacometrics Group,"Ann Arbor, MI",-1,-1,-1,-1,-1,-1
Senior Associate Data Science & Analytics,$93K - $147K (Glassdoor est.),4.1,"Razorfish
4.1","Birmingham, MI",-1,-1,-1,-1,-1,-1
Data Analyst,-1,3.3,"Rocket Auto LLC
3.3",Michigan,Unknown,Company - Private,Unknown / Non-Applicable,-1,-1,-1
Data Analyst,$40K - $81K (Glassdoor est.),4.0,"Community Choice Credit Union
4.0","Farmington Hills, MI",201 to 500 Employees,1935,Company - Public,Investment Banking & Asset Management,Finance,$1 to $2 billion (USD)
"Data Analyst, Automotive Sales",$46K - $86K (Glassdoor est.),3.6,"Molex
3.6","Rochester Hills, MI",10000+ Employees,1938,Company - Private,Enterprise Software & Network Solutions,Information Technology,$2 to $5 billion (USD)
Machine Learning Engineer,$65K - $108K (Glassdoor est.),3.3,"Rocket Auto LLC
3.3","Detroit, MI",Unknown,Company - Private,Unknown / Non-Applicable,-1,-1,-1
EPA Information Technology & Data Science Internship,-1,3.8,"U.S. Environmental Protection Agency (EPA)
3.8","Ann Arbor, MI",501 to 1000 Employees,1946,Nonprofit Organization,Research & Development,Business Services,$50 to $100 million (USD)
103: Junior Data Engineer (Long Term Contract),$53K - $97K (Glassdoor est.),4.0,"Dataspace
4.0","Detroit, MI",1 to 50 Employees,1994,Company - Private,IT Services,Information Technology,$5 to $10 million (USD)
Data Engineer,$59K - $107K (Glassdoor est.),4.0,"Herman Miller, Inc.
4.0","Zeeland, MI",5001 to 10000 Employees,1905,Company - Public,Consumer Products Manufacturing,Manufacturing,$2 to $5 billion (USD)
Associate Scientist - Immunology - Project Scientist,$58K - $113K (Glassdoor est.),3.5,"Charles River Laboratories
3.5","Mattawan, MI",10000+ Employees,1947,Company - Public,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$2 to $5 billion (USD)
Data Analyst,$42K - $83K (Glassdoor est.),1.6,"Alliance Health Professionals Pllc
1.6","Clinton Township, MI",501 to 1000 Employees,Company - Public,Health Care Services & Hospitals,Health Care,Unknown / Non-Applicable,-1
CDAO - Data Analytics Professionals,$51K - $96K (Glassdoor est.),4.0,"General Motors LLC
4.0","Detroit, MI",10000+ Employees,1908,Company - Public,Transportation Equipment Manufacturing,Manufacturing,$10+ billion (USD)
Associate Scientist - Project Scientist - Bioanalytical,$58K - $113K (Glassdoor est.),3.5,"Charles River Laboratories
3.5","Mattawan, MI",10000+ Employees,1947,Company - Public,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$2 to $5 billion (USD)
Data Review Scientist,-1,-1,Eurofins USA BioPharma Services,"Portage, MI",-1,-1,-1,-1,-1,-1
